point_id,mileage,zone,session,date,increment_mm,rate,cumulative_mm,replicate,cum_recon,single_lag_1,cum_lag_1,single_lag_2,cum_lag_2,single_lag_3,cum_lag_3,single_lag_4,cum_lag_4,single_lag_5,cum_lag_5,roll_mean_3,roll_std_3,diff_1,days_next,days_prev,timestep,has_goaf,seam_thickness_m,mining_depth_m,depth_thickness_ratio,dip_angle_deg,recovery_rate,years_since_abandonment,room_width_m,pillar_width_m,grouting,mining_method,overburden_lithology,coal_mine,stability_class,geo_note
C26,JPK20+890,JPK,6,2022-05-31,-2.7,-0.08,3.8,1,3.8,1.0,6.5,1.7,5.5,-1.0,3.8000000000000003,2.7,4.800000000000001,2.1,2.1,0.5666666666666667,1.4011899704655801,-0.7,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C26,JPK20+890,JPK,7,2022-06-24,-2.0,-0.08,1.8,1,1.7999999999999998,-2.7,3.8,1.0,6.5,1.7,5.5,-1.0,3.8000000000000003,2.7,4.800000000000001,0.0,2.364318083507378,-3.7,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C26,JPK20+890,JPK,8,2022-07-16,-0.9,-0.04,0.9,1,0.8999999999999998,-2.0,1.7999999999999998,-2.7,3.8,1.0,6.5,1.7,5.5,-1.0,3.8000000000000003,-1.2333333333333334,1.965536398374076,0.7000000000000002,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C27,JPK20+920,JPK,6,2022-05-31,1.6,0.05,8.7,1,8.7,1.9,7.1,0.0,5.2,-1.0,5.2,3.2,6.2,3.0,3.0,0.3,1.4730919862656233,1.9,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C27,JPK20+920,JPK,7,2022-06-24,-0.2,-0.01,8.5,1,8.5,1.6,8.7,1.9,7.1,0.0,5.2,-1.0,5.2,3.2,6.2,1.1666666666666667,1.0214368964029705,-0.2999999999999998,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C27,JPK20+920,JPK,8,2022-07-16,-1.1,-0.05,7.4,1,7.4,-0.2,8.5,1.6,8.7,1.9,7.1,0.0,5.2,-1.0,5.2,1.0999999999999999,1.1357816691600544,-1.8,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C28,JPK21+060,JPK,6,2022-05-31,-1.7,-0.05,3.7,1,3.8000000000000003,0.9,5.5,0.0,4.6,-1.1,4.6,2.7,5.7,3.0,3.0,-0.0666666666666667,1.0016652800877817,0.9,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C28,JPK21+060,JPK,7,2022-06-24,1.0,0.04,4.7,1,4.800000000000001,-1.7,3.8000000000000003,0.9,5.5,0.0,4.6,-1.1,4.6,2.7,5.7,-0.26666666666666666,1.3203534880225574,-2.6,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C28,JPK21+060,JPK,8,2022-07-16,-0.1,0.0,4.7,1,4.7,1.0,4.800000000000001,-1.7,3.8000000000000003,0.9,5.5,0.0,4.6,-1.1,4.6,0.0666666666666667,1.530795000427338,2.7,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C29,JPK21+010,JPK,6,2022-05-31,-2.3,-0.07,5.0,1,5.0,1.2,7.3,1.9,6.1,-1.1,4.2,2.7,5.300000000000001,2.6,2.6,0.6666666666666666,1.5695009822658075,-0.7,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C29,JPK21+010,JPK,7,2022-06-24,0.6,0.03,5.6,1,5.6,-2.3,5.0,1.2,7.3,1.9,6.1,-1.1,4.2,2.7,5.300000000000001,0.2666666666666666,2.250185177565023,-3.5,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C29,JPK21+010,JPK,8,2022-07-16,-1.2,-0.05,4.4,1,4.4,0.6,5.6,-2.3,5.0,1.2,7.3,1.9,6.1,-1.1,4.2,-0.16666666666666663,1.8717193521821944,2.9,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C3,K21+155,K21,6,2022-05-31,-1.5,-0.05,-2.6,1,-2.6,-1.7,-1.1,-0.3,0.5999999999999999,-1.1,0.8999999999999999,0.9,2.0,1.1,1.1,-1.0333333333333334,0.702376916856849,-1.4,34.0,21.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C3,K21+155,K21,7,2022-06-24,-1.0,-0.04,-3.6,1,-3.6,-1.5,-2.6,-1.7,-1.1,-0.3,0.5999999999999999,-1.1,0.8999999999999999,0.9,2.0,-1.1666666666666667,0.7571877794400362,0.19999999999999996,24.0,34.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C3,K21+155,K21,8,2022-07-16,1.1,0.05,-2.5,1,-2.5,-1.0,-3.6,-1.5,-2.6,-1.7,-1.1,-0.3,0.5999999999999999,-1.1,0.8999999999999999,-1.4000000000000001,0.3605551275463984,0.5,22.0,24.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,none,none,outside Wanghe mine boundary (mine starts at K21+240)
C30,JPK21+060,JPK,6,2022-05-31,1.3,0.04,4.2,1,4.3,0.9,3.0,0.3,2.0999999999999996,-1.1,1.7999999999999998,-1.1,2.9,4.0,4.0,0.03333333333333329,1.0263202878893767,0.6000000000000001,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C30,JPK21+060,JPK,7,2022-06-24,0.4,0.02,4.6,1,4.7,1.3,4.3,0.9,3.0,0.3,2.0999999999999996,-1.1,1.7999999999999998,-1.1,2.9,0.8333333333333334,0.5033222956847163,0.4,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C30,JPK21+060,JPK,8,2022-07-16,-0.1,0.0,4.5,1,4.6,0.4,4.7,1.3,4.3,0.9,3.0,0.3,2.0999999999999996,-1.1,1.7999999999999998,0.8666666666666667,0.45092497528228903,-0.9,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,dual-mileage point (ramp mileage belongs to Segment 1)
C31,JPK21+060,JPK,6,2022-05-31,-1.7,-0.05,2.0,1,2.0,0.9,3.6999999999999997,-1.2,2.8,-0.9,4.0,3.1,4.9,1.8,1.8,-0.4000000000000002,1.1357816691600546,2.1,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C31,JPK21+060,JPK,7,2022-06-24,0.2,0.01,2.1,1,2.2,-1.7,2.0,0.9,3.6999999999999997,-1.2,2.8,-0.9,4.0,3.1,4.9,-0.6666666666666669,1.379613472438325,-2.6,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C31,JPK21+060,JPK,8,2022-07-16,-0.7,-0.03,1.4,1,1.5,0.2,2.2,-1.7,2.0,0.9,3.6999999999999997,-1.2,2.8,-0.9,4.0,-0.20000000000000018,1.345362404707371,1.9,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C32,JPK21+140,JPK,6,2022-05-31,-0.1,0.0,5.2,1,5.1000000000000005,1.1,5.2,2.0,4.1,-1.0,2.1,1.3,3.1,1.8,1.8,0.7000000000000001,1.5394804318340654,-0.8999999999999999,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C32,JPK21+140,JPK,7,2022-06-24,0.3,0.01,5.5,1,5.4,-0.1,5.1000000000000005,1.1,5.2,2.0,4.1,-1.0,2.1,1.3,3.1,1.0,1.0535653752852738,-1.2000000000000002,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C32,JPK21+140,JPK,8,2022-07-16,1.5,0.07,7.1,1,6.9,0.3,5.4,-0.1,5.1000000000000005,1.1,5.2,2.0,4.1,-1.0,2.1,0.43333333333333335,0.6110100926607785,0.4,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C33,JPK21+180,JPK,6,2022-05-31,2.5,0.07,4.2,1,4.3,1.0,1.7999999999999998,0.5,0.7999999999999999,-1.0,0.29999999999999993,-0.1,1.2999999999999998,1.4,1.4,0.16666666666666663,1.0408329997330663,0.5,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C33,JPK21+180,JPK,7,2022-06-24,0.8,0.03,5.0,1,5.1,2.5,4.3,1.0,1.7999999999999998,0.5,0.7999999999999999,-1.0,0.29999999999999993,-0.1,1.2999999999999998,1.3333333333333333,1.0408329997330663,1.5,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C33,JPK21+180,JPK,8,2022-07-16,1.9,0.09,7.0,1,7.0,0.8,5.1,2.5,4.3,1.0,1.7999999999999998,0.5,0.7999999999999999,-1.0,0.29999999999999993,1.4333333333333333,0.9291573243177568,-1.7,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C34,JPK21+220,JPK,6,2022-05-31,-2.2,-0.06,-2.2,1,-2.3000000000000007,-2.1,-0.10000000000000031,1.9,1.9999999999999998,-1.3,0.09999999999999987,-1.1,1.4,2.5,2.5,-0.5000000000000001,2.1166010488516727,-4.0,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C34,JPK21+220,JPK,7,2022-06-24,-0.8,-0.03,-3.0,1,-3.1000000000000005,-2.2,-2.3000000000000007,-2.1,-0.10000000000000031,1.9,1.9999999999999998,-1.3,0.09999999999999987,-1.1,1.4,-0.8000000000000002,2.3388031127053,-0.10000000000000009,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C34,JPK21+220,JPK,8,2022-07-16,1.6,0.07,-1.4,1,-1.5000000000000007,-0.8,-3.1000000000000005,-2.2,-2.3000000000000007,-2.1,-0.10000000000000031,1.9,1.9999999999999998,-1.3,0.09999999999999987,-1.7000000000000002,0.7810249675906653,1.4000000000000001,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C35,,RAMP,6,2022-05-31,2.8,0.08,10.2,1,10.299999999999999,2.1,7.5,-2.1,5.3999999999999995,0.9,7.5,3.3,6.6,3.3,3.3,0.3,2.1633307652783937,4.2,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C35,,RAMP,7,2022-06-24,-0.6,-0.02,9.6,1,9.7,2.8,10.299999999999999,2.1,7.5,-2.1,5.3999999999999995,0.9,7.5,3.3,6.6,0.9333333333333332,2.650157228040128,0.6999999999999997,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C35,,RAMP,8,2022-07-16,1.4,0.06,11.0,1,11.1,-0.6,9.7,2.8,10.299999999999999,2.1,7.5,-2.1,5.3999999999999995,0.9,7.5,1.4333333333333336,1.7953644012660315,-3.4,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C36,,RAMP,6,2022-05-31,-1.1,-0.03,-3.2,1,-3.1,-2.9,-2.0,-2.0,0.8999999999999999,-0.9,2.9,3.0,3.8,0.8,0.8,-1.9333333333333336,1.0016652800877812,-0.8999999999999999,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C36,,RAMP,7,2022-06-24,-0.9,-0.04,-4.1,1,-4.0,-1.1,-3.1,-2.9,-2.0,-2.0,0.8999999999999999,-0.9,2.9,3.0,3.8,-2.0,0.9,1.7999999999999998,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C36,,RAMP,8,2022-07-16,-0.9,-0.04,-5.0,1,-4.9,-0.9,-4.0,-1.1,-3.1,-2.9,-2.0,-2.0,0.8999999999999999,-0.9,2.9,-1.6333333333333335,1.1015141094572205,0.20000000000000007,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C37,,RAMP,6,2022-05-31,-2.2,-0.06,-3.2,1,-3.2,-0.9,-1.0,-0.2,-0.09999999999999992,-3.9,0.10000000000000009,2.9,4.0,1.1,1.1,-1.6666666666666667,1.965536398374076,-0.7,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C37,,RAMP,7,2022-06-24,1.6,0.07,-1.6,1,-1.6,-2.2,-3.2,-0.9,-1.0,-0.2,-0.09999999999999992,-3.9,0.10000000000000009,2.9,4.0,-1.1000000000000003,1.0148891565092222,-1.3000000000000003,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C37,,RAMP,8,2022-07-16,-2.0,-0.09,-3.6,1,-3.6,1.6,-1.6,-2.2,-3.2,-0.9,-1.0,-0.2,-0.09999999999999992,-3.9,0.10000000000000009,-0.5000000000000001,1.931320791582797,3.8000000000000003,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C38,K22+890,K22,6,2022-05-31,0.1,0.0,-6.0,1,-6.0,-2.0,-6.1,-1.2,-4.1,-3.9,-2.9,0.1,1.0,0.9,0.9,-2.3666666666666667,1.3868429375143145,-0.8,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C38,K22+890,K22,7,2022-06-24,-1.3,-0.06,-7.3,1,-7.3,0.1,-6.0,-2.0,-6.1,-1.2,-4.1,-3.9,-2.9,0.1,1.0,-1.0333333333333334,1.05987420637231,2.1,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
